鑽孔名稱,X座標,Y座標,地表高程,頂深,底深,岩性,顏色,備註
BH-01,5,8,99.2,0,1.5,SF,#c9b380,
BH-01,5,8,99.2,1.5,7,SM,#e0c068,
BH-01,5,8,99.2,7,13.5,CL,#8a9a5b,
BH-01,5,8,99.2,13.5,19,ML,#a89984,
BH-01,5,8,99.2,19,26,SM,#e0c068,
BH-02,25,5,99.6,0,1.8,SF,#c9b380,
BH-02,25,5,99.6,1.8,7.5,SM,#e0c068,
BH-02,25,5,99.6,7.5,14,CL,#8a9a5b,
BH-02,25,5,99.6,14,19.5,ML,#a89984,
BH-02,25,5,99.6,19.5,26,SM,#e0c068,
BH-03,45,10,100.1,0,2,SF,#c9b380,
BH-03,45,10,100.1,2,8,SM,#e0c068,
BH-03,45,10,100.1,8,14.8,CL,#8a9a5b,
BH-03,45,10,100.1,14.8,20,ML,#a89984,
BH-03,45,10,100.1,20,27,SM,#e0c068,
BH-04,68,6,100.5,0,1.6,SF,#c9b380,
BH-04,68,6,100.5,1.6,8.4,SM,#e0c068,
BH-04,68,6,100.5,8.4,15.2,CL,#8a9a5b,
BH-04,68,6,100.5,15.2,20.8,ML,#a89984,
BH-04,68,6,100.5,20.8,28,SM,#e0c068,
BH-05,90,12,101.2,0,2.2,SF,#c9b380,
BH-05,90,12,101.2,2.2,8.8,SM,#e0c068,
BH-05,90,12,101.2,8.8,15.8,CL,#8a9a5b,
BH-05,90,12,101.2,15.8,21.5,ML,#a89984,
BH-05,90,12,101.2,21.5,28,SM,#e0c068,
BH-06,112,8,101.6,0,1.9,SF,#c9b380,
BH-06,112,8,101.6,1.9,9.2,SM,#e0c068,
BH-06,112,8,101.6,9.2,16.2,CL,#8a9a5b,
BH-06,112,8,101.6,16.2,22,ML,#a89984,
BH-06,112,8,101.6,22,29,風化岩,"hsl(131, 45%, 55%)",
BH-07,10,42,100.4,0,1.4,SF,#c9b380,
BH-07,10,42,100.4,1.4,6.6,SM,#e0c068,
BH-07,10,42,100.4,6.6,13,CL,#8a9a5b,
BH-07,10,42,100.4,13,18.6,ML,#a89984,
BH-07,10,42,100.4,18.6,25,SM,#e0c068,
BH-08,35,48,101,0,2.1,SF,#c9b380,
BH-08,35,48,101,2.1,7.2,SM,#e0c068,
BH-08,35,48,101,7.2,13.8,CL,#8a9a5b,
BH-08,35,48,101,13.8,19.2,ML,#a89984,
BH-08,35,48,101,19.2,26,SM,#e0c068,
BH-09,60,45,101.8,0,1.7,SF,#c9b380,
BH-09,60,45,101.8,1.7,7.8,SM,#e0c068,
BH-09,60,45,101.8,7.8,14.5,CL,#8a9a5b,互層:主 CL / 副 ML
BH-09,60,45,101.8,14.5,20.2,ML,#a89984,
BH-09,60,45,101.8,20.2,27,SM,#e0c068,
BH-10,85,50,102.5,0,2.3,SF,#c9b380,
BH-10,85,50,102.5,2.3,8.5,SM,#e0c068,
BH-10,85,50,102.5,8.5,15.5,CL,#8a9a5b,
BH-10,85,50,102.5,15.5,21,ML,#a89984,
BH-10,85,50,102.5,21,28,SM,#e0c068,
BH-11,108,46,103.1,0,2,SF,#c9b380,
BH-11,108,46,103.1,2,9,SM,#e0c068,
BH-11,108,46,103.1,9,16,CL,#8a9a5b,
BH-11,108,46,103.1,16,21.8,ML,#a89984,
BH-11,108,46,103.1,21.8,29,風化岩,"hsl(131, 45%, 55%)",
BH-12,55,75,102.2,0,1.5,SF,#c9b380,
BH-12,55,75,102.2,1.5,7,SM,#e0c068,
BH-12,55,75,102.2,7,14,CL,#8a9a5b,
BH-12,55,75,102.2,14,19.8,ML,#a89984,
BH-12,55,75,102.2,19.8,27,SM,#e0c068,
